질의,포함핵심어,포함개수
춘천에 위치한 고령자와 장애인을 위한 적합한 숙소를 추천해 주실 수 있나요?,춘천,1
남춘천역 근처에 휠체어 접근로가 있는 숙소가 있나요?,"남춘천역, 휠체어 접근로 있음",2
춘천에 엘리베이터가 있는 숙소가 있을까요?,"춘천, 엘리베이터 있음",2
강촌역 주변에 장애인 주차장 3대가 있는 숙소가 있나요?,"강촌역, 장애인 주차장 있음(3대)",2
"장애인 주차구역이 있는 숙소를 찾고 있는데, 어디서 확인할 수 있을까요?",장애인 주차구역 있음,1
강촌역이나 강촌 근처에 음성안내기가 있는 숙소가 있나요?,"강촌역, 강촌, 음성안내기 있음",3
"춘천이나 강촌, 남이섬 근처에 숙박할 만한 곳이 있을까요?","춘천, 강촌, 남이섬",3
춘천에서 의암호와 공지천 근처에 위치한 숙소가 있나요?,"의암호, 춘천, 공지천",3
남이섬 주변에 고령자에게 적합한 숙소가 있나요?,남이섬,1
"남면, 춘천시 주변에 고령자나 장애인에게 적합한 숙소가 있을까요?","남면, 춘천시",2
휠체어 접근로가 있는 숙소를 추천해 주실 수 있나요?,휠체어 접근로 있음,1
효자동이나 춘천시 강원도에 위치한 고령자에게 적합한 숙소가 있나요?,"효자동, 춘천시, 강원도",3
하중도 근처에 계단 난간이 있고 장애인 지원 객실을 제공하는 숙소가 있나요?,"하중도, 계단 난간, 장애인 지원 객실",3
공지천 근처에 위치한 숙소를 추천해 주실 수 있나요?,공지천,1
효자동 근처에 고령자에게 적합한 숙소가 있나요?,효자동,1
"공지천이나 춘천, 하중도 근처에 위치한 숙소가 있을까요?","공지천, 춘천, 하중도",3
의암호 근처에 위치한 숙소를 추천해 주실 수 있나요?,의암호,1
춘천역이나 춘천 근처에 위치한 숙소 추천해주실 수 있나요?,"춘천역, 춘천",2
소양강댐 근처에 엘리베이터가 있는 숙소가 있나요?,"소양강댐, 엘리베이터 있음.",2
춘천이나 명동 근처에 고령자에게 적합한 숙소가 있나요?,"춘천, 명동",2
철원읍 주변에 고령자에게 적합한 숙소가 있나요?,철원읍,1
소양강댐 근처에 출입구까지 턱이 없이 접근 가능한 숙소가 있나요?,"소양강댐, 출입구까지 턱이 없이 접근 가능",2
강원도 철원읍이나 한탄강 근처에 위치한 숙소를 추천해 주실 수 있나요?,"철원읍, 한탄강, 강원도",3
남춘천역 근처에 출입구까지 경사로가 설치된 숙소가 있나요?,"남춘천역, 출입구까지 경사로 설치",2
춘천에 점자블록이 있는 숙소가 있나요?,"춘천, 점자블록 있음",2
강원 지역에 고령자에게 적합한 숙소가 있나요?,강원,1
장애인 주차장이 있는 숙소가 있나요?,장애인 주차장 있음,1
휠체어를 대여할 수 있는 숙소가 있나요?,휠체어대여가능,1
춘천이나 강촌 지역에 고령자에게 적합한 숙소가 있나요?,"춘천, 강촌",2
효자동이나 춘천시 주변에 고령자에게 적합한 숙소가 있나요?,"효자동, 춘천시",2
춘천에 있는 숙소 중 엘리베이터 내부에 점자안내가 있는 곳이 있나요?,"춘천, 점자안내(엘리베이터 내부)",2
남춘천역 근처에 점자블록이 있는 숙소가 있나요?,"남춘천역, 점자블록 있음",2
하중도 주변에 계단 없는 주 출입구가 있는 숙소가 있나요?,"하중도, 계단 없는 주 출입구",2
춘천역 주변에 고령자나 장애인에게 적합한 숙소가 있나요?,춘천역,1
남면 근처에 고령자나 장애인이 머무르기 좋은 숙소가 있을까요?,남면,1
강촌역 근처에 음성안내기가 있는 숙소가 있나요?,"강촌역, 음성안내기 있음",2
남춘천역 근처에 보조견을 동반할 수 있는 숙소가 있나요?,"남춘천역, 보조견 동반 가능",2
엘리베이터가 있는 숙소를 추천해 주실 수 있나요?,엘리베이터 있음,1
"춘천이나 봉의동, 춘천역 근처에 고령자와 장애인에게 적합한 숙소가 있나요?","춘천, 봉의동, 춘천역",3
강촌이나 남이섬 근처에 위치한 고령자에게 적합한 숙소가 있나요?,"강촌, 남이섬",2
춘천에 안내요원이 있는 숙소가 있나요?,"춘천, 안내요원 있음",2
하중도 근처에 계단 난간이 있는 숙소가 있나요?,"하중도, 계단 난간",2
