숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
경포비치호텔,강릉시,"경포대와 가까운 숙소를 찾고 있는데, 장애인 편의시설이 잘 갖춰져 있는 곳이 있을까요?",안목 해변에서 멀지 않은 숙소 중에 계단 없이 출입할 수 있는 곳이 있나요?,"휠체어를 사용하는 어머니와 함께 머물 예정인데, 장애인 지원 객실이 있는 숙소를 추천해 주실 수 있을까요?",엘리베이터가 있어서 층간 이동이 편리한 숙소가 있을까요?,"부모님과 함께 여행할 예정인데, 강릉역에서 차로 이동하기 수월한 숙소 중에 고령자 편의시설이 잘 마련된 곳이 있나요?"
더 홍씨호텔 강릉,강릉시,경포대에 가깝고 교동에 위치한 숙소가 있을까요? 부모님과 함께 머물고 싶어요,"정동진 해변에 가볍게 다녀오고 싶은데, 그 근처에 위치한 숙소가 있을까요?",휠체어 사용자도 편리하게 이용할 수 있는 계단 없는 출입구가 있는 숙소가 있나요?,"시각장애가 있는 어머니와 여행하려고 하는데, 점자 안내판이 잘 되어 있는 숙소를 추천해 주실 수 있나요?","부모님께서 온돌을 좋아하시는데, 바닥 난방이 있는 숙소가 있을까요?"
씨마크호텔,강릉시,경포대와 가까운 숙소 중에서 고령자분들이 머물기 편리한 곳이 있을까요?,"안목 해변을 방문할 계획인데, 그 주변에 엘리베이터가 있는 숙소가 있을까요?","휠체어를 사용하시는 부모님과 함께 묵을 수 있는, 장애인 주차 시설이 잘 갖춰진 숙소가 있나요?",온돌형 객실이 있는 숙소 중에서 고령자분들이 편안히 이용할 수 있는 곳이 있을까요?,"건강 관리를 위해 사우나 시설을 이용하고 싶은데, 장애인 편의시설도 잘 되어 있는 숙소가 있을까요?"
강릉관광호텔,강릉시,오죽헌 시립박물관에 쉽게 방문할 수 있는 숙소가 있을까요?,경포 도립공원 근처에 자연경관을 즐길 수 있는 숙소를 찾고 있어요. 추천해주실 수 있나요?,"휠체어를 사용하는 가족과 여행할 예정인데, 휠체어 이용이 가능한 숙소가 있을까요?","시각장애가 있는 부모님과 함께 머물 예정인데, 시각 경보기가 설치된 숙소가 있나요?","고령의 부모님과 함께할 생각인데, 노령층을 위한 편의시설이 잘 제공되는 숙소가 있을까요?"
Hotel Tops10,강릉시,"부모님과 함께 여행할 계획인데, 강릉역에서 접근하기 쉬운 숙소가 있을까요?","정동진을 방문할 예정인데, 그 근처에 위치한 편안한 숙소를 추천해 주실 수 있나요?","휠체어를 사용하는 가족이 있어서, 숙소 전체가 휠체어로 이용 가능한 곳이 있을까요?",장애인 전용 주차 시설이 잘 갖춰진 숙소가 있는지 알고 싶어요,계단 없이 출입할 수 있는 숙소가 있을까요? 저희 어머니가 계단 이용이 어려우셔서요
호텔이스트나인,강릉시,"휠체어를 사용하시는 어머니와 함께 여행할 예정인데, 숙소 전체가 휠체어로 이동 가능한 곳이 있을까요?",강릉역에서 가까운 숙소 중에 교통이 편리한 곳을 추천받을 수 있을까요?,"부모님이 금연 공간을 선호하시는데, 전 객실이 금연인 숙소가 있나요?",주문진 수산시장 근처에서 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?,"접근성 좋은 숙소를 찾고 있는데, 강릉 주요 관광지와 가까운 숙소가 있을까요?"
주문진리조트,강릉시,경포대와 가까운 숙소 중에서 고령자나 장애인에게 편리한 시설이 잘 갖춰져 있는 곳이 있을까요?,강릉 커피 거리까지 쉽게 이동할 수 있는 숙소가 있을까요?,"엘리베이터가 있는 숙소를 찾고 있는데, 장애인 편의시설도 잘 제공되는 곳이 있을까요?",키가 낮은 개수대가 있어서 휠체어를 사용하는 분도 편리하게 사용할 수 있는 숙소가 있나요?,"가족들이 모두 비흡연자라 금연 숙소를 찾고 있는데, 혹시 그런 숙소 중에 고령자에게도 편리한 곳이 있을까요?"
썬크루즈호텔&리조트,강릉시,"해돋이 공원에서 일출을 보고 싶은데, 근처에 숙소가 있나요?","경포 해변을 방문할 계획인데, 차로 40분 이내에 위치한 숙소가 있을까요?","휠체어를 사용하는데, 계단 없는 출입구가 있는 숙소가 있을까요?","부모님이 엘리베이터가 필요하신데, 엘리베이터가 있는 숙소가 있나요?",고령자분들이 이용하기 편한 다양한 장애인 편의시설을 제공하는 숙소가 있을까요?
스카이 베이 경포,강릉시,경포 해변과 가까운 숙소가 있을까요? 부모님과 함께 해변을 쉽게 방문하고 싶어요,강릉 카페거리까지 접근성이 좋은 숙소가 있을까요? 부모님과 함께 카페에서 시간을 보내고 싶어요,휠체어를 사용하는 분도 쉽게 이용할 수 있는 장애인 지원 객실이 있는 숙소가 있나요?,시각장애가 있는 분을 위한 점자 안내판이 잘 갖춰진 숙소가 있을까요?,계단이 없는 출입구를 제공하는 숙소가 있을까요? 무릎이 불편하신 아버지께서 이용하기 편리했으면 해요
지브,강릉시,부모님과 함께 주문진 해수욕장을 걸어서 갈 수 있는 숙소가 있을까요?,양양 국제공항에서 자동차로 이동하기 편리한 숙소가 있나요?,"휠체어 사용이 가능한 화장실을 갖춘 숙소를 찾고 있는데, 그런 곳이 있을까요?",시각장애가 있는 가족을 위해 점자 안내가 잘 되어 있는 숙소가 있나요?,거동이 불편하신 부모님과 함께 머물기 좋은 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?
G7 오션뷰 펜션,강릉시,"휠체어를 사용하시는 아버지와 함께 강릉에서 머물고 싶은데, 장애인 편의시설이 잘 갖춰져 있는 숙소가 있을까요?",부모님과 함께 주문진오징어축제를 걸어서 갈 수 있는 숙소가 있을까요?,시각장애가 있는 어머니와 함께 여행할 예정입니다. 점자 안내판이나 기타 시각장애인 편의시설이 잘 갖춰진 숙소가 있을까요?,"강릉에서 공항까지 이동이 편리한 숙소를 찾고 있는데, 양양 국제공항과 가까운 숙소가 있을까요?",장애인 전용 화장실이나 문턱이 낮은 객실을 이용할 수 있는 숙소가 있을까요?
