질의,포함핵심어,포함개수
강릉에 엘리베이터로 이동 가능한 숙소가 있나요?,"강릉, 엘리베이터 이동 가능",2
강릉이나 선교장 주변에 휠체어 이용 가능한 숙소가 있나요?,"강릉, 선교장, 휠체어 이용 가능",3
오죽헌 근처에 시설 전체가 휠체어로 이용 가능한 숙소가 있나요?,"오죽헌, 시설 전체 휠체어 이용 가능",2
"경포대, 강릉, 평창 근처에 위치한 숙소 추천해 주실 수 있나요?","경포대, 강릉, 평창",3
금연 객실을 제공하는 숙소가 있나요?,금연,1
경포대 근처에 가족용 객실을 제공하는 숙소가 있나요?,"경포대, 가족용 객실",2
강릉이나 정동진 근처에 위치한 숙소를 추천해 주실 수 있나요?,"강릉, 강릉역, 정동진",3
금진항 근처에 장애인 주차가 가능한 숙소가 있나요?,"금진항, 장애인 주차",2
"주문진, 대관령, 강릉 중 어느 지역에 숙소를 잡는 것이 관광하기에 더 좋을까요?","주문진, 대관령, 강릉",3
오죽헌 근처에 엘리베이터가 있는 숙소가 있나요?,"오죽헌, 엘리베이터",2
주문진에 금연 가능한 숙소가 있나요?,"주문진, 금연",2
강릉에 엘리베이터로 위층 이동이 가능하고 금연인 숙소가 있나요?,"강릉, 엘리베이터로 위층 이동 가능, 금연",3
경포호 주변에 엘리베이터가 있는 숙소가 있나요?,"경포호, 엘리베이터",2
경포대 근처에서 엘리베이터로 위층 이동 가능한 숙소가 있나요?,"경포대, 엘리베이터로 위층 이동 가능, 엘리베이터로 이동 가능",3
양양국제공항이나 강릉역 근처에 장애인 지원 객실이 있는 숙소가 있나요?,"양양국제공항, 강릉역, 장애인 지원 객실",3
계단 없는 주 출입구가 있는 숙소가 있나요?,계단 없는 주 출입구,1
오죽헌 근처에 엘리베이터가 있고 시설 전체가 휠체어로 이용 가능한 숙소가 있을까요?,"오죽헌, 엘리베이터, 시설 전체 휠체어 이용 가능",3
주문진이나 강릉 지역에 고령자에게 적합한 숙소가 있나요?,"주문진, 강릉",2
경포호 주변에 공용 공간에서 흡연이 금지된 숙소가 있나요?,"경포호, 공용 공간에서 흡연 금지",2
강릉에 시설 전체가 지상층에 위치하고 장애인 지원 객실이 있는 숙소가 있나요?,"강릉, 시설 전체가 지상층에 위치, 장애인 지원 객실",3
경포대와 정동진 사이에 위치한 숙소가 있나요?,"경포대, 정동진",2
엘리베이터로 이동 가능한 숙소가 있나요?,엘리베이터로 이동 가능,1
주문진이나 대포항 근처에 적합한 숙소가 있나요?,"주문진, 대포항",2
강릉역 근처에 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"강릉역, 엘리베이터로 위층 이동 가능, 엘리베이터",3
강릉역 근처에 계단으로 위층 이동이 가능한 숙소가 있나요?,"강릉역, 계단으로 위층 이동 가능",2
경포해수욕장이나 강릉 근처에 위치한 숙소 추천해 주실 수 있나요?,"경포해수욕장, 강릉",2
강릉역 근처에 엘리베이터로 이동 가능하고 장애인 지원 객실이 있는 숙소가 있나요?,"강릉역, 엘리베이터로 이동 가능, 장애인 지원 객실",3
강릉에서 고령자에게 적합한 숙소를 추천해 주실 수 있나요?,강릉,1
장애인 편의시설이 잘 갖춰진 숙소가 있나요?,장애인 편의시설,1
